key_resp_hello.keys,key_resp_hello.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,start_bwd.keys,start_bwd.rt,textbox.text,correct,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,response,start_fwd.keys,start_fwd.rt,textbox_fwd.text,key_resp_fwd.keys,key_resp_fwd.rt,trials_fwd.thisRepN,trials_fwd.thisTrialN,trials_fwd.thisN,trials_fwd.thisIndex,trials_fwd.ran,digitSpan_fwd,digits_fwd
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,0,,,,,,,,,,,,,3377235,return,4.3678,0,0,0,0,1,7,3387235
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,2544261,return,3.5831,0,1,1,1,1,7,2544261
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,1305085,return,3.8482,0,2,2,2,1,7,1305085
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,46226408,return,4.6293,0,0,0,0,1,8,46226408
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,70967182,return,4.7815,0,1,1,1,1,8,70967182
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,361373842,return,8.8541,0,0,0,0,1,9,361373842
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,570270919,return,4.503,0,1,1,1,1,9,570270919
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,0,,,,,,,,,,,,,64329008001,return,5.3972,0,0,0,0,1,10,6432900801
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,8467348927,return,6.812,0,1,1,1,1,10,8467348927
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,4184946413,return,6.1974,0,2,2,2,1,10,4184946413
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,73290740563,return,6.1735,0,0,0,0,1,11,73290740563
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,0,,,,,,,,,,,,,74948740927,return,16.4143,0,1,1,1,1,11,74948772224
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,0,,,,,,,,,,,,,90874622072,return,29.7084,0,2,2,2,1,11,97084622072
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,681345809826,return,14.9238,0,0,0,0,1,12,6.81346E+11
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,0,,,,,,,,,,,,,802379658302,return,7.6865,0,1,1,1,1,12,8.7238E+11
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,0,,,,,,,,,,,,,842210715072,return,17.7276,0,2,2,2,1,12,2.41072E+11
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,801,return,8.7134,0,0,0,0,1,3,801
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,627,return,1.9005,0,1,1,1,1,3,627
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,5286,return,2.9884,0,0,0,0,1,4,5286
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,1029,return,1.9442,0,1,1,1,1,4,1029
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,39624,return,2.0655,0,0,0,0,1,5,39624
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,80996,return,2.4476,0,1,1,1,1,5,80996
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,730142,return,2.5779,0,0,0,0,1,6,730142
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,179390,return,2.494,0,1,1,1,1,6,179390
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,0,,,,,,,,,,,,,3377235,return,3.4982,0,0,0,0,1,7,3387235
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,2544261,return,2.9113,0,1,1,1,1,7,2544261
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,1305085,return,3.8177,0,2,2,2,1,7,1305085
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,0,,,,,,,,,,,,,462226408,return,5.0427,0,0,0,0,1,8,46226408
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,70967182,return,5.6932,0,1,1,1,1,8,70967182
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,27109325,return,4.8259,0,2,2,2,1,8,27109325
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,0,,,,,,,,,,,,,3613673812,return,5.0584,0,0,0,0,1,9,361373842
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,1,,,,,,,,,,,,,570270919,return,4.0413,0,1,1,1,1,9,570270919
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,0,,,,,,,,,,,,,688655287,return,3.8486,0,2,2,2,1,9,688655257
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,0,,,,,,,,,,,,,64329008001,return,4.8797,0,0,0,0,1,10,6432900801
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,0,,,,,,,,,,,,,1467348427,return,7.5364,0,1,1,1,1,10,8467348927
,,nurdemirci,001,03-16-2023_10h52.59.497,Digit Span Task,2022.2.5,Win32,58.9240469,,,,,,,,,,,,,,,,,,,,,,,,,,
